step,episode_reward,episode_length
357,45.8675422668457,3.0
358,95.46166229248047,3.0
359,147.08261108398438,3.0
360,116.07813262939453,3.0
361,24.88441276550293,3.0
362,34.458213806152344,3.0
363,104.3361587524414,3.0
364,54.43833923339844,3.0
365,40.46609115600586,3.0
366,28.625064849853516,2.0
367,55.63987350463867,3.0
368,52.48511505126953,3.0
369,43.76511764526367,3.0
370,95.93592071533203,3.0
371,46.178401947021484,3.0
372,36.824546813964844,3.0
373,127.89990997314453,3.0
374,41.01818084716797,3.0
375,35.37137222290039,3.0
376,17.0174617767334,2.0
377,48.9522705078125,3.0
378,57.51911544799805,3.0
379,101.68292236328125,3.0
380,112.55692291259766,3.0
381,62.9148063659668,3.0
382,49.894927978515625,3.0
383,54.415096282958984,3.0
384,124.87969207763672,3.0
385,52.08959197998047,3.0
386,115.13554382324219,3.0
387,43.70542907714844,3.0
388,52.924232482910156,3.0
389,51.99531936645508,3.0
390,95.55795288085938,3.0
391,61.81818771362305,3.0
392,24.139373779296875,2.0
393,59.383567810058594,3.0
394,41.32743835449219,3.0
395,87.3019027709961,3.0
396,139.03038024902344,3.0
397,54.48810958862305,3.0
398,33.80543518066406,3.0
399,26.123268127441406,2.0
400,34.14741897583008,3.0
401,69.74292755126953,3.0
402,114.60240936279297,3.0
403,61.925689697265625,3.0
404,89.8069076538086,2.0
405,58.43233871459961,3.0
406,88.68380737304688,3.0
407,65.53610229492188,3.0
408,52.90586853027344,3.0
409,34.745540618896484,2.0
410,74.54584503173828,3.0
411,61.11164093017578,3.0
412,51.366756439208984,3.0
413,84.84444427490234,3.0
414,102.69203186035156,3.0
415,88.1764144897461,3.0
416,110.08879089355469,3.0
417,60.82667922973633,3.0
418,77.70092010498047,3.0
419,64.43557739257812,3.0
420,12.435731887817383,2.0
421,60.57320022583008,3.0
422,43.6712760925293,3.0
423,49.9283561706543,3.0
424,35.243316650390625,3.0
425,36.91748046875,2.0
426,116.95563507080078,3.0
427,55.8354377746582,3.0
428,127.16696166992188,3.0
429,57.762386322021484,3.0
430,74.42753601074219,3.0
431,151.25650024414062,3.0
432,120.98741912841797,3.0
433,142.60826110839844,3.0
434,63.03485870361328,3.0
435,54.96754455566406,3.0
436,33.26053237915039,3.0
437,65.59553527832031,3.0
438,57.11532974243164,3.0
439,89.11400604248047,3.0
440,98.49964904785156,3.0
441,147.0440216064453,3.0
442,56.288429260253906,3.0
443,102.91566467285156,3.0
444,88.82697296142578,3.0
445,132.53659057617188,3.0
446,86.90840911865234,3.0
447,46.616844177246094,3.0
448,43.763023376464844,3.0
449,9.878174781799316,2.0
450,44.33552551269531,3.0
451,107.57136535644531,3.0
452,99.03165435791016,3.0
453,63.555294036865234,3.0
454,125.33390808105469,3.0
455,125.18223571777344,3.0
456,101.38370513916016,3.0
457,10.286380767822266,2.0
458,65.74861907958984,3.0
459,58.06079864501953,3.0
460,37.746761322021484,3.0
461,25.375329971313477,3.0
462,43.99549102783203,3.0
463,151.58627319335938,3.0
464,56.486026763916016,3.0
465,18.379623413085938,3.0
466,30.873313903808594,2.0
467,67.49456787109375,3.0
468,6.445206165313721,3.0
469,10.289246559143066,2.0
470,93.33475494384766,3.0
471,33.16130447387695,3.0
472,92.33775329589844,3.0
473,54.737579345703125,3.0
474,112.6452865600586,3.0
475,60.824066162109375,3.0
476,146.30233764648438,3.0
477,62.26335525512695,3.0
478,7.627422332763672,2.0
